     date              t_sum        Kp       ap        D
 01.06.2013             1.5       5.667         67           1
 01.06.2013             4.5           7        132           1
 01.06.2013             7.5       6.333         94           1
 01.06.2013            10.5           5         48           1
 01.06.2013            13.5       5.667         67           1
 01.06.2013            16.5       3.333         18           1
 01.06.2013            19.5       3.667         22           1
 01.06.2013            22.5           3         15           1
 02.06.2013             1.5           4         27           1
 02.06.2013             4.5       3.333         18           1
 02.06.2013             7.5       3.333         18           1
 02.06.2013            10.5           3         15           1
 02.06.2013            13.5       3.333         18           1
 02.06.2013            16.5       2.667         12           1
 02.06.2013            19.5           3         15           1
 02.06.2013            22.5       2.667         12           1
 03.06.2013             1.5           3         15           1
 03.06.2013             4.5           2          7           1
 03.06.2013             7.5       1.667          6           1
 03.06.2013            10.5       1.667          6           1
 03.06.2013            13.5       1.333          5           1
 03.06.2013            16.5           2          7           1
 03.06.2013            19.5       2.667         12           1
 03.06.2013            22.5           3         15           1
 04.06.2013             1.5           3         15           1
 04.06.2013             4.5       2.333          9           1
 04.06.2013             7.5           2          7           1
 04.06.2013            10.5       1.333          5           1
 04.06.2013            13.5       0.667          3           1
 04.06.2013            16.5           1          4           1
 04.06.2013            19.5       1.667          6           1
 04.06.2013            22.5       2.667         12           1
 05.06.2013             1.5       2.333          9           1
 05.06.2013             4.5       1.333          5           1
 05.06.2013             7.5           1          4           1
 05.06.2013            10.5           1          4           1
 05.06.2013            13.5       1.333          5           1
 05.06.2013            16.5           1          4           1
 05.06.2013            19.5       1.333          5           1
 05.06.2013            22.5           1          4           1
 06.06.2013             1.5       1.333          5           1
 06.06.2013             4.5           3         15           1
 06.06.2013             7.5           3         15           1
 06.06.2013            10.5           3         15           1
 06.06.2013            13.5       3.667         22           1
 06.06.2013            16.5           5         48           1
 06.06.2013            19.5           4         27           1
 06.06.2013            22.5       4.667         39           1
 07.06.2013             1.5           5         48           1
 07.06.2013             4.5       5.667         67           1
 07.06.2013             7.5       4.667         39           1
 07.06.2013            10.5           4         27           1
 07.06.2013            13.5           3         15           1
 07.06.2013            16.5       2.333          9           1
 07.06.2013            19.5       1.667          6           1
 07.06.2013            22.5       1.333          5           1
 08.06.2013             1.5       2.333          9           1
 08.06.2013             4.5           3         15           1
 08.06.2013             7.5           3         15           1
 08.06.2013            10.5       2.333          9           1
 08.06.2013            13.5           1          4           1
 08.06.2013            16.5       0.333          2           1
 08.06.2013            19.5       0.333          2           1
 08.06.2013            22.5           1          4           1
 09.06.2013             1.5           1          4           1
 09.06.2013             4.5       1.333          5           1
 09.06.2013             7.5       1.333          5           1
 09.06.2013            10.5           1          4           1
 09.06.2013            13.5       2.333          9           1
 09.06.2013            16.5       2.667         12           1
 09.06.2013            19.5       2.333          9           1
 09.06.2013            22.5       2.333          9           1
 10.06.2013             1.5       2.333          9           1
 10.06.2013             4.5       3.333         18           1
 10.06.2013             7.5       3.333         18           1
 10.06.2013            10.5       2.667         12           1
 10.06.2013            13.5       2.333          9           1
 10.06.2013            16.5           2          7           1
 10.06.2013            19.5       1.667          6           1
 10.06.2013            22.5       0.333          2           1
 11.06.2013             1.5       0.333          2           1
 11.06.2013             4.5       0.333          2           1
 11.06.2013             7.5       0.333          2           1
 11.06.2013            10.5           1          4           1
 11.06.2013            13.5       2.667         12           1
 11.06.2013            16.5       2.333          9           1
 11.06.2013            19.5       1.333          5           1
 11.06.2013            22.5       1.333          5           1
 12.06.2013             1.5           1          4           1
 12.06.2013             4.5       1.333          5           1
 12.06.2013             7.5           1          4           1
 12.06.2013            10.5           1          4           1
 12.06.2013            13.5           1          4           1
 12.06.2013            16.5       0.667          3           1
 12.06.2013            19.5       0.333          2           1
 12.06.2013            22.5           1          4           1
 13.06.2013             1.5       1.667          6           1
 13.06.2013             4.5           1          4           1
 13.06.2013             7.5           0          0           1
 13.06.2013            10.5       0.333          2           1
 13.06.2013            13.5       0.333          2           1
 13.06.2013            16.5       0.333          2           1
 13.06.2013            19.5       0.333          2           1
 13.06.2013            22.5       0.667          3           1
 14.06.2013             1.5           1          4           1
 14.06.2013             4.5       0.333          2           1
 14.06.2013             7.5       0.333          2           1
 14.06.2013            10.5           1          4           1
 14.06.2013            13.5       0.333          2           1
 14.06.2013            16.5       0.333          2           1
 14.06.2013            19.5           1          4           1
 14.06.2013            22.5       1.333          5           1
 15.06.2013             1.5       1.667          6           1
 15.06.2013             4.5       0.667          3           1
 15.06.2013             7.5       1.333          5           1
 15.06.2013            10.5           1          4           1
 15.06.2013            13.5       0.333          2           1
 15.06.2013            16.5       0.667          3           1
 15.06.2013            19.5       0.333          2           1
 15.06.2013            22.5           1          4           1
 16.06.2013             1.5       0.333          2           1
 16.06.2013             4.5           0          0           1
 16.06.2013             7.5           0          0           1
 16.06.2013            10.5       0.667          3           1
 16.06.2013            13.5       0.333          2           1
 16.06.2013            16.5       0.333          2           1
 16.06.2013            19.5       0.667          3           1
 16.06.2013            22.5       0.333          2           1
 17.06.2013             1.5       0.333          2           1
 17.06.2013             4.5           1          4           1
 17.06.2013             7.5           1          4           1
 17.06.2013            10.5       0.667          3           1
 17.06.2013            13.5       0.667          3           1
 17.06.2013            16.5       0.333          2           1
 17.06.2013            19.5       0.667          3           1
 17.06.2013            22.5       0.667          3           1
 18.06.2013             1.5       0.667          3           1
 18.06.2013             4.5       1.333          5           1
 18.06.2013             7.5       0.667          3           1
 18.06.2013            10.5       0.333          2           1
 18.06.2013            13.5       0.667          3           1
 18.06.2013            16.5           1          4           1
 18.06.2013            19.5       1.333          5           1
 18.06.2013            22.5       0.667          3           1
 19.06.2013             1.5       1.333          5           1
 19.06.2013             4.5       1.333          5           1
 19.06.2013             7.5       0.333          2           1
 19.06.2013            10.5       0.333          2           1
 19.06.2013            13.5           1          4           1
 19.06.2013            16.5           1          4           1
 19.06.2013            19.5           1          4           1
 19.06.2013            22.5           2          7           1
 20.06.2013             1.5       2.333          9           1
 20.06.2013             4.5       1.667          6           1
 20.06.2013             7.5           1          4           1
 20.06.2013            10.5       1.667          6           1
 20.06.2013            13.5           2          7           1
 20.06.2013            16.5       2.333          9           1
 20.06.2013            19.5       4.333         32           1
 20.06.2013            22.5       3.333         18           1
 21.06.2013             1.5           4         27           1
 21.06.2013             4.5       3.667         22           1
 21.06.2013             7.5       2.667         12           1
 21.06.2013            10.5       2.667         12           1
 21.06.2013            13.5           3         15           1
 21.06.2013            16.5           3         15           1
 21.06.2013            19.5       3.667         22           1
 21.06.2013            22.5           3         15           1
 22.06.2013             1.5       3.333         18           1
 22.06.2013             4.5           3         15           1
 22.06.2013             7.5           3         15           1
 22.06.2013            10.5       2.667         12           1
 22.06.2013            13.5           2          7           1
 22.06.2013            16.5       2.333          9           1
 22.06.2013            19.5       3.333         18           1
 22.06.2013            22.5       2.667         12           1
 23.06.2013             1.5       3.333         18           1
 23.06.2013             4.5           4         27           1
 23.06.2013             7.5       3.667         22           1
 23.06.2013            10.5       2.667         12           1
 23.06.2013            13.5           2          7           1
 23.06.2013            16.5       3.667         22           1
 23.06.2013            19.5       3.333         18           1
 23.06.2013            22.5           3         15           1
 24.06.2013             1.5           3         15           1
 24.06.2013             4.5           3         15           1
 24.06.2013             7.5       2.333          9           1
 24.06.2013            10.5       2.333          9           1
 24.06.2013            13.5       3.667         22           1
 24.06.2013            16.5           4         27           1
 24.06.2013            19.5       4.333         32           1
 24.06.2013            22.5       2.667         12           1
 25.06.2013             1.5           3         15           1
 25.06.2013             4.5       2.333          9           1
 25.06.2013             7.5       1.667          6           1
 25.06.2013            10.5           1          4           1
 25.06.2013            13.5       0.333          2           1
 25.06.2013            16.5       1.333          5           1
 25.06.2013            19.5       1.333          5           1
 25.06.2013            22.5       1.667          6           1
 26.06.2013             1.5       0.333          2           1
 26.06.2013             4.5       0.333          2           1
 26.06.2013             7.5       0.333          2           1
 26.06.2013            10.5       0.333          2           1
 26.06.2013            13.5       0.333          2           1
 26.06.2013            16.5           1          4           1
 26.06.2013            19.5       0.333          2           1
 26.06.2013            22.5       0.333          2           1
 27.06.2013             1.5       0.667          3           1
 27.06.2013             4.5       0.333          2           1
 27.06.2013             7.5       0.333          2           1
 27.06.2013            10.5       0.333          2           1
 27.06.2013            13.5       3.333         18           1
 27.06.2013            16.5           2          7           1
 27.06.2013            19.5           2          7           1
 27.06.2013            22.5       2.667         12           1
 28.06.2013             1.5       3.333         18           1
 28.06.2013             4.5           3         15           1
 28.06.2013             7.5       1.667          6           1
 28.06.2013            10.5       2.667         12           1
 28.06.2013            13.5       3.333         18           1
 28.06.2013            16.5       4.667         39           1
 28.06.2013            19.5       4.333         32           1
 28.06.2013            22.5       4.667         39           1
 29.06.2013             1.5       5.667         67           1
 29.06.2013             4.5       6.333         94           1
 29.06.2013             7.5       5.667         67           1
 29.06.2013            10.5       5.333         56           1
 29.06.2013            13.5       4.667         39           1
 29.06.2013            16.5           4         27           1
 29.06.2013            19.5       4.333         32           1
 29.06.2013            22.5       3.667         22           1
 30.06.2013             1.5       3.333         18           1
 30.06.2013             4.5           2          7           1
 30.06.2013             7.5           1          4           1
 30.06.2013            10.5       2.667         12           1
 30.06.2013            13.5       2.667         12           1
 30.06.2013            16.5       2.333          9           1
 30.06.2013            19.5       2.333          9           1
 30.06.2013            22.5       2.667         12           1
 01.07.2013             1.5           3         15           1
 01.07.2013             4.5       2.333          9           1
 01.07.2013             7.5       2.333          9           1
 01.07.2013            10.5       1.333          5           1
 01.07.2013            13.5           1          4           1
 01.07.2013            16.5       0.333          2           1
 01.07.2013            19.5           1          4           1
 01.07.2013            22.5       0.333          2           1
 02.07.2013             1.5       0.333          2           1
 02.07.2013             4.5       0.667          3           1
 02.07.2013             7.5       0.667          3           1
 02.07.2013            10.5       0.667          3           1
 02.07.2013            13.5       0.667          3           1
 02.07.2013            16.5       1.333          5           1
 02.07.2013            19.5           1          4           1
 02.07.2013            22.5           1          4           1
 03.07.2013             1.5           1          4           1
 03.07.2013             4.5       0.333          2           1
 03.07.2013             7.5       0.667          3           1
 03.07.2013            10.5       0.667          3           1
 03.07.2013            13.5       0.333          2           1
 03.07.2013            16.5           1          4           1
 03.07.2013            19.5           1          4           1
 03.07.2013            22.5       1.667          6           1
 04.07.2013             1.5           1          4           1
 04.07.2013             4.5       0.333          2           1
 04.07.2013             7.5       0.333          2           1
 04.07.2013            10.5           0          0           1
 04.07.2013            13.5       0.667          3           1
 04.07.2013            16.5       1.333          5           1
 04.07.2013            19.5       1.333          5           1
 04.07.2013            22.5       1.667          6           1
 05.07.2013             1.5       1.667          6           1
 05.07.2013             4.5           2          7           1
 05.07.2013             7.5       1.667          6           1
 05.07.2013            10.5       1.333          5           1
 05.07.2013            13.5           2          7           1
 05.07.2013            16.5           2          7           1
 05.07.2013            19.5       3.667         22           1
 05.07.2013            22.5       1.667          6           1
 06.07.2013             1.5           3         15           1
 06.07.2013             4.5       4.333         32           1
 06.07.2013             7.5       4.667         39           1
 06.07.2013            10.5       3.667         22           1
 06.07.2013            13.5       4.667         39           1
 06.07.2013            16.5           4         27           1
 06.07.2013            19.5           3         15           1
 06.07.2013            22.5           4         27           1
 07.07.2013             1.5           4         27           1
 07.07.2013             4.5           1          4           1
 07.07.2013             7.5       0.333          2           1
 07.07.2013            10.5           0          0           1
 07.07.2013            13.5       0.667          3           1
 07.07.2013            16.5           1          4           1
 07.07.2013            19.5       0.667          3           1
 07.07.2013            22.5       0.333          2           1
 08.07.2013             1.5       0.333          2           1
 08.07.2013             4.5       1.667          6           1
 08.07.2013             7.5       1.667          6           1
 08.07.2013            10.5       0.667          3           1
 08.07.2013            13.5       0.667          3           1
 08.07.2013            16.5       0.667          3           1
 08.07.2013            19.5       0.667          3           1
 08.07.2013            22.5       0.667          3           1
 09.07.2013             1.5           0          0           1
 09.07.2013             4.5       0.333          2           1
 09.07.2013             7.5           1          4           1
 09.07.2013            10.5       1.667          6           1
 09.07.2013            13.5       2.333          9           1
 09.07.2013            16.5       2.667         12           1
 09.07.2013            19.5       3.333         18           1
 09.07.2013            22.5       3.333         18           1
 10.07.2013             1.5       4.333         32           1
 10.07.2013             4.5           4         27           1
 10.07.2013             7.5           3         15           1
 10.07.2013            10.5       4.333         32           1
 10.07.2013            13.5       3.667         22           1
 10.07.2013            16.5           4         27           1
 10.07.2013            19.5       4.333         32           1
 10.07.2013            22.5       3.333         18           1
 11.07.2013             1.5       2.333          9           1
 11.07.2013             4.5           3         15           1
 11.07.2013             7.5       4.667         39           1
 11.07.2013            10.5       2.667         12           1
 11.07.2013            13.5           3         15           1
 11.07.2013            16.5       3.667         22           1
 11.07.2013            19.5       4.667         39           1
 11.07.2013            22.5           2          7           1
 12.07.2013             1.5       1.667          6           1
 12.07.2013             4.5       2.333          9           1
 12.07.2013             7.5       2.333          9           1
 12.07.2013            10.5       1.667          6           1
 12.07.2013            13.5       1.667          6           1
 12.07.2013            16.5           2          7           1
 12.07.2013            19.5       2.333          9           1
 12.07.2013            22.5           3         15           1
 13.07.2013             1.5           3         15           1
 13.07.2013             4.5           3         15           1
 13.07.2013             7.5       2.333          9           1
 13.07.2013            10.5           1          4           1
 13.07.2013            13.5       0.667          3           1
 13.07.2013            16.5       1.333          5           1
 13.07.2013            19.5       1.667          6           1
 13.07.2013            22.5       2.333          9           1
 14.07.2013             1.5           3         15           1
 14.07.2013             4.5           3         15           1
 14.07.2013             7.5       3.333         18           1
 14.07.2013            10.5       3.667         22           1
 14.07.2013            13.5       4.333         32           1
 14.07.2013            16.5           4         27           1
 14.07.2013            19.5           5         48           1
 14.07.2013            22.5           4         27           1
 15.07.2013             1.5       5.333         56           1
 15.07.2013             4.5           5         48           1
 15.07.2013             7.5       3.667         22           1
 15.07.2013            10.5       3.667         22           1
 15.07.2013            13.5       3.667         22           1
 15.07.2013            16.5       2.333          9           1
 15.07.2013            19.5       1.667          6           1
 15.07.2013            22.5       1.667          6           1
 16.07.2013             1.5       0.333          2           1
 16.07.2013             4.5           1          4           1
 16.07.2013             7.5           1          4           1
 16.07.2013            10.5           1          4           1
 16.07.2013            13.5       1.333          5           1
 16.07.2013            16.5           1          4           1
 16.07.2013            19.5       2.333          9           1
 16.07.2013            22.5           1          4           1
 17.07.2013             1.5       0.333          2           1
 17.07.2013             4.5           1          4           1
 17.07.2013             7.5           1          4           1
 17.07.2013            10.5       0.333          2           1
 17.07.2013            13.5       0.667          3           1
 17.07.2013            16.5       0.667          3           1
 17.07.2013            19.5           1          4           1
 17.07.2013            22.5       1.667          6           1
 18.07.2013             1.5           1          4           1
 18.07.2013             4.5       0.333          2           1
 18.07.2013             7.5       1.667          6           1
 18.07.2013            10.5           2          7           1
 18.07.2013            13.5       4.333         32           1
 18.07.2013            16.5       4.667         39           1
 18.07.2013            19.5       4.667         39           1
 18.07.2013            22.5       2.333          9           1
 19.07.2013             1.5       2.667         12           1
 19.07.2013             4.5       2.667         12           1
 19.07.2013             7.5       3.667         22           1
 19.07.2013            10.5       2.667         12           1
 19.07.2013            13.5       3.333         18           1
 19.07.2013            16.5       2.667         12           1
 19.07.2013            19.5       3.667         22           1
 19.07.2013            22.5       2.667         12           1
 20.07.2013             1.5           3         15           1
 20.07.2013             4.5       0.667          3           1
 20.07.2013             7.5       1.333          5           1
 20.07.2013            10.5           1          4           1
 20.07.2013            13.5       0.667          3           1
 20.07.2013            16.5       0.333          2           1
 20.07.2013            19.5       0.333          2           1
 20.07.2013            22.5       0.667          3           1
 21.07.2013             1.5       0.667          3           1
 21.07.2013             4.5       0.667          3           1
 21.07.2013             7.5       0.667          3           1
 21.07.2013            10.5           1          4           1
 21.07.2013            13.5           1          4           1
 21.07.2013            16.5           1          4           1
 21.07.2013            19.5       1.333          5           1
 21.07.2013            22.5       1.333          5           1
 22.07.2013             1.5       0.333          2           1
 22.07.2013             4.5       0.333          2           1
 22.07.2013             7.5       0.333          2           1
 22.07.2013            10.5       0.667          3           1
 22.07.2013            13.5       1.667          6           1
 22.07.2013            16.5       1.667          6           1
 22.07.2013            19.5       1.333          5           1
 22.07.2013            22.5       2.667         12           1
 23.07.2013             1.5           2          7           1
 23.07.2013             4.5       1.333          5           1
 23.07.2013             7.5       0.333          2           1
 23.07.2013            10.5           1          4           1
 23.07.2013            13.5       0.667          3           1
 23.07.2013            16.5           1          4           1
 23.07.2013            19.5           1          4           1
 23.07.2013            22.5       1.333          5           1
 24.07.2013             1.5           2          7           1
 24.07.2013             4.5       0.667          3           1
 24.07.2013             7.5       0.667          3           1
 24.07.2013            10.5       0.333          2           1
 24.07.2013            13.5           1          4           1
 24.07.2013            16.5       0.667          3           1
 24.07.2013            19.5           1          4           1
 24.07.2013            22.5       1.333          5           1
 25.07.2013             1.5       0.333          2           1
 25.07.2013             4.5           1          4           1
 25.07.2013             7.5       0.667          3           1
 25.07.2013            10.5       0.667          3           1
 25.07.2013            13.5       1.667          6           1
 25.07.2013            16.5       3.667         22           1
 25.07.2013            19.5           4         27           1
 25.07.2013            22.5           4         27           1
 26.07.2013             1.5           4         27           1
 26.07.2013             4.5       3.333         18           1
 26.07.2013             7.5       1.667          6           1
 26.07.2013            10.5       1.667          6           1
 26.07.2013            13.5       2.333          9           1
 26.07.2013            16.5       2.333          9           1
 26.07.2013            19.5           2          7           1
 26.07.2013            22.5       1.667          6           1
 27.07.2013             1.5       2.667         12           1
 27.07.2013             4.5       1.667          6           1
 27.07.2013             7.5       1.333          5           1
 27.07.2013            10.5       2.333          9           1
 27.07.2013            13.5       2.667         12           1
 27.07.2013            16.5       2.333          9           1
 27.07.2013            19.5       2.667         12           1
 27.07.2013            22.5       2.333          9           1
 28.07.2013             1.5           2          7           1
 28.07.2013             4.5       2.333          9           1
 28.07.2013             7.5           1          4           1
 28.07.2013            10.5           1          4           1
 28.07.2013            13.5       0.667          3           1
 28.07.2013            16.5           1          4           1
 28.07.2013            19.5       1.667          6           1
 28.07.2013            22.5       2.333          9           1
 29.07.2013             1.5       1.333          5           1
 29.07.2013             4.5       1.667          6           1
 29.07.2013             7.5       1.333          5           1
 29.07.2013            10.5           1          4           1
 29.07.2013            13.5           2          7           1
 29.07.2013            16.5       0.667          3           1
 29.07.2013            19.5       0.333          2           1
 29.07.2013            22.5           1          4           1
 30.07.2013             1.5       0.667          3           1
 30.07.2013             4.5       1.333          5           1
 30.07.2013             7.5           1          4           1
 30.07.2013            10.5           1          4           1
 30.07.2013            13.5           2          7           1
 30.07.2013            16.5           1          4           1
 30.07.2013            19.5       1.333          5           1
 30.07.2013            22.5       1.667          6           1
 31.07.2013             1.5           2          7           1
 31.07.2013             4.5           1          4           1
 31.07.2013             7.5           0          0           1
 31.07.2013            10.5       0.667          3           1
 31.07.2013            13.5           1          4           1
 31.07.2013            16.5           1          4           1
 31.07.2013            19.5       1.333          5           1
 31.07.2013            22.5       0.667          3           1
 01.08.2013             1.5       1.333          5           1
 01.08.2013             4.5       1.667          6           1
 01.08.2013             7.5       0.667          3           1
 01.08.2013            10.5           1          4           1
 01.08.2013            13.5       1.333          5           1
 01.08.2013            16.5           2          7           1
 01.08.2013            19.5       0.333          2           1
 01.08.2013            22.5           0          0           1
 02.08.2013             1.5       0.333          2           1
 02.08.2013             4.5       0.667          3           1
 02.08.2013             7.5       0.333          2           1
 02.08.2013            10.5       0.667          3           1
 02.08.2013            13.5       0.333          2           1
 02.08.2013            16.5           1          4           1
 02.08.2013            19.5       0.667          3           1
 02.08.2013            22.5           0          0           1
 03.08.2013             1.5       0.667          3           1
 03.08.2013             4.5       0.333          2           1
 03.08.2013             7.5       0.333          2           1
 03.08.2013            10.5       0.333          2           1
 03.08.2013            13.5           1          4           1
 03.08.2013            16.5       0.667          3           1
 03.08.2013            19.5       1.333          5           1
 03.08.2013            22.5           2          7           1
 04.08.2013             1.5       1.333          5           1
 04.08.2013             4.5           1          4           1
 04.08.2013             7.5       2.333          9           1
 04.08.2013            10.5       2.333          9           1
 04.08.2013            13.5       1.333          5           1
 04.08.2013            16.5       4.667         39           1
 04.08.2013            19.5       3.667         22           1
 04.08.2013            22.5           4         27           1
 05.08.2013             1.5       4.333         32           1
 05.08.2013             4.5       3.667         22           1
 05.08.2013             7.5       2.333          9           1
 05.08.2013            10.5       2.667         12           1
 05.08.2013            13.5           2          7           1
 05.08.2013            16.5       2.333          9           1
 05.08.2013            19.5       2.667         12           1
 05.08.2013            22.5       2.333          9           1
 06.08.2013             1.5           2          7           1
 06.08.2013             4.5       1.333          5           1
 06.08.2013             7.5       1.667          6           1
 06.08.2013            10.5       1.333          5           1
 06.08.2013            13.5       1.333          5           1
 06.08.2013            16.5       0.333          2           1
 06.08.2013            19.5           1          4           1
 06.08.2013            22.5       1.667          6           1
 07.08.2013             1.5       1.333          5           1
 07.08.2013             4.5           1          4           1
 07.08.2013             7.5       1.333          5           1
 07.08.2013            10.5       0.333          2           1
 07.08.2013            13.5       0.667          3           1
 07.08.2013            16.5       0.333          2           1
 07.08.2013            19.5       0.667          3           1
 07.08.2013            22.5           0          0           1
 08.08.2013             1.5       0.333          2           1
 08.08.2013             4.5       0.333          2           1
 08.08.2013             7.5           1          4           1
 08.08.2013            10.5       0.333          2           1
 08.08.2013            13.5       0.667          3           1
 08.08.2013            16.5       0.667          3           1
 08.08.2013            19.5           1          4           1
 08.08.2013            22.5       1.667          6           1
 09.08.2013             1.5       0.667          3           1
 09.08.2013             4.5           2          7           1
 09.08.2013             7.5       1.667          6           1
 09.08.2013            10.5           2          7           1
 09.08.2013            13.5           2          7           1
 09.08.2013            16.5           1          4           1
 09.08.2013            19.5       2.333          9           1
 09.08.2013            22.5       1.333          5           1
 10.08.2013             1.5           1          4           1
 10.08.2013             4.5       1.333          5           1
 10.08.2013             7.5       1.667          6           1
 10.08.2013            10.5       1.667          6           1
 10.08.2013            13.5       2.333          9           1
 10.08.2013            16.5       0.667          3           1
 10.08.2013            19.5           1          4           1
 10.08.2013            22.5           1          4           1
 11.08.2013             1.5           1          4           1
 11.08.2013             4.5           1          4           1
 11.08.2013             7.5           1          4           1
 11.08.2013            10.5       1.333          5           1
 11.08.2013            13.5       1.333          5           1
 11.08.2013            16.5           1          4           1
 11.08.2013            19.5       0.667          3           1
 11.08.2013            22.5           1          4           1
 12.08.2013             1.5           1          4           1
 12.08.2013             4.5       0.333          2           1
 12.08.2013             7.5       0.333          2           1
 12.08.2013            10.5       0.667          3           1
 12.08.2013            13.5       0.667          3           1
 12.08.2013            16.5           1          4           1
 12.08.2013            19.5       1.667          6           1
 12.08.2013            22.5           3         15           1
 13.08.2013             1.5           2          7           1
 13.08.2013             4.5       0.333          2           1
 13.08.2013             7.5       0.333          2           1
 13.08.2013            10.5           2          7           1
 13.08.2013            13.5       1.333          5           1
 13.08.2013            16.5       3.333         18           1
 13.08.2013            19.5           3         15           1
 13.08.2013            22.5       2.333          9           1
 14.08.2013             1.5       3.667         22           1
 14.08.2013             4.5           3         15           1
 14.08.2013             7.5       1.667          6           1
 14.08.2013            10.5       0.333          2           1
 14.08.2013            13.5           1          4           1
 14.08.2013            16.5       1.333          5           1
 14.08.2013            19.5       2.333          9           1
 14.08.2013            22.5           3         15           1
 15.08.2013             1.5       3.667         22           1
 15.08.2013             4.5       2.333          9           1
 15.08.2013             7.5           2          7           1
 15.08.2013            10.5       2.667         12           1
 15.08.2013            13.5       2.667         12           1
 15.08.2013            16.5       3.667         22           1
 15.08.2013            19.5       1.667          6           1
 15.08.2013            22.5       3.333         18           1
 16.08.2013             1.5       3.667         22           1
 16.08.2013             4.5       5.333         56           1
 16.08.2013             7.5       3.333         18           1
 16.08.2013            10.5       2.333          9           1
 16.08.2013            13.5       4.333         32           1
 16.08.2013            16.5       4.333         32           1
 16.08.2013            19.5       3.333         18           1
 16.08.2013            22.5       3.333         18           1
 17.08.2013             1.5       2.333          9           1
 17.08.2013             4.5       2.333          9           1
 17.08.2013             7.5       2.333          9           1
 17.08.2013            10.5       1.333          5           1
 17.08.2013            13.5           2          7           1
 17.08.2013            16.5       1.667          6           1
 17.08.2013            19.5       1.333          5           1
 17.08.2013            22.5       1.667          6           1
 18.08.2013             1.5       1.667          6           1
 18.08.2013             4.5       0.667          3           1
 18.08.2013             7.5           2          7           1
 18.08.2013            10.5       1.333          5           1
 18.08.2013            13.5       1.333          5           1
 18.08.2013            16.5       1.667          6           1
 18.08.2013            19.5           2          7           1
 18.08.2013            22.5           1          4           1
 19.08.2013             1.5       1.667          6           1
 19.08.2013             4.5       1.333          5           1
 19.08.2013             7.5       0.667          3           1
 19.08.2013            10.5       0.667          3           1
 19.08.2013            13.5       1.333          5           1
 19.08.2013            16.5       1.333          5           1
 19.08.2013            19.5       0.667          3           1
 19.08.2013            22.5       0.667          3           1
 20.08.2013             1.5       0.667          3           1
 20.08.2013             4.5           0          0           1
 20.08.2013             7.5       0.333          2           1
 20.08.2013            10.5       0.667          3           1
 20.08.2013            13.5       0.333          2           1
 20.08.2013            16.5       0.667          3           1
 20.08.2013            19.5       0.667          3           1
 20.08.2013            22.5       2.333          9           1
 21.08.2013             1.5       2.333          9           1
 21.08.2013             4.5       3.667         22           1
 21.08.2013             7.5       2.333          9           1
 21.08.2013            10.5           3         15           1
 21.08.2013            13.5           3         15           1
 21.08.2013            16.5       3.333         18           1
 21.08.2013            19.5           4         27           1
 21.08.2013            22.5       4.333         32           1
 22.08.2013             1.5       3.667         22           1
 22.08.2013             4.5       3.667         22           1
 22.08.2013             7.5       2.333          9           1
 22.08.2013            10.5       1.333          5           1
 22.08.2013            13.5       1.667          6           1
 22.08.2013            16.5       1.667          6           1
 22.08.2013            19.5           3         15           1
 22.08.2013            22.5       3.667         22           1
 23.08.2013             1.5       4.333         32           1
 23.08.2013             4.5           3         15           1
 23.08.2013             7.5       3.333         18           1
 23.08.2013            10.5       2.667         12           1
 23.08.2013            13.5           2          7           1
 23.08.2013            16.5       2.667         12           1
 23.08.2013            19.5       2.667         12           1
 23.08.2013            22.5       2.333          9           1
 24.08.2013             1.5       2.333          9           1
 24.08.2013             4.5       1.667          6           1
 24.08.2013             7.5       1.667          6           1
 24.08.2013            10.5       1.667          6           1
 24.08.2013            13.5       2.333          9           1
 24.08.2013            16.5       1.333          5           1
 24.08.2013            19.5           2          7           1
 24.08.2013            22.5           1          4           1
 25.08.2013             1.5           1          4           1
 25.08.2013             4.5       1.667          6           1
 25.08.2013             7.5       1.333          5           1
 25.08.2013            10.5       1.667          6           1
 25.08.2013            13.5           2          7           1
 25.08.2013            16.5           2          7           1
 25.08.2013            19.5       0.667          3           1
 25.08.2013            22.5       1.333          5           1
 26.08.2013             1.5           2          7           1
 26.08.2013             4.5           1          4           1
 26.08.2013             7.5           1          4           1
 26.08.2013            10.5           1          4           1
 26.08.2013            13.5           1          4           1
 26.08.2013            16.5       0.667          3           1
 26.08.2013            19.5       1.667          6           1
 26.08.2013            22.5           2          7           1
 27.08.2013             1.5       2.667         12           1
 27.08.2013             4.5       0.667          3           1
 27.08.2013             7.5       0.333          2           1
 27.08.2013            10.5       1.333          5           1
 27.08.2013            13.5           3         15           1
 27.08.2013            16.5           3         15           1
 27.08.2013            19.5           5         48           1
 27.08.2013            22.5       4.333         32           1
 28.08.2013             1.5           4         27           1
 28.08.2013             4.5           3         15           1
 28.08.2013             7.5           2          7           1
 28.08.2013            10.5       1.333          5           1
 28.08.2013            13.5       1.667          6           1
 28.08.2013            16.5       1.333          5           1
 28.08.2013            19.5       0.667          3           1
 28.08.2013            22.5           1          4           1
 29.08.2013             1.5       0.333          2           1
 29.08.2013             4.5           0          0           1
