      date        h         min      t_sum  MLT   MLAT   GLON   GLAT
 31.07.2013       2         17       2.28 23.99  67.41 310.32     62
 31.07.2013      11         55      11.92  0.73  67.65 214.78  66.56
 31.07.2013      19         23      19.38  1.12  69.34   80.7  73.53
 02.08.2013       4         29       4.48  0.57  72.21 291.48  63.75
 02.08.2013       8         42       8.70  1.87  78.51  270.3   68.5
 04.08.2013       6         50       6.83 22.36  67.48 248.89  58.77
 04.08.2013       8         43       8.72  0.42  64.28 248.79  56.66
 04.08.2013      15         25      15.42 23.19  66.71 128.92  71.59
 05.08.2013      19          3      19.05 21.64  76.57  11.95  78.92
 06.08.2013       3         23       3.38 23.41   66.7  291.6   58.1
 06.08.2013       6         34       6.57 23.89   68.5 265.79  57.71
 06.08.2013      12         21      12.35  1.63  66.24 220.89  64.05
 06.08.2013      20         59      20.98  1.85  67.35  66.83  71.16
 07.08.2013       6         36       6.60 20.05  71.57 226.23  68.41
 08.08.2013       8          1       8.02  1.33   68.5 265.79  57.71
 08.08.2013      14         36      14.60  2.59  70.87 216.35  70.14
 09.08.2013       5         44       5.73 23.08   68.5 265.79  57.71
 10.08.2013       5         46       5.77  0.69  66.31 282.24  55.28
 10.08.2013      10         13      10.22 23.62  66.24 220.89  64.05
 11.08.2013       8          7       8.12 23.36  69.42 245.52  62.48
 11.08.2013       9         37       9.62  21.6  70.64 203.38  71.32
 12.08.2013      20         29      20.48  0.97  65.95  61.21   69.6
 12.08.2013      23         15      23.25  1.64  64.41  23.53  68.02
 13.08.2013       9         29       9.48  0.77  69.42 245.52  62.48
 13.08.2013      19         35      19.58  0.07  65.95  61.21   69.6
 14.08.2013       0         20       0.33  2.78   65.6  23.05  69.02
 14.08.2013      20         28      20.47 22.53  65.74  16.03   69.3
 15.08.2013       7         51       7.85  1.15  66.16 265.36  56.38
 16.08.2013       0          8       0.13  1.57  62.61  10.99  64.94
 16.08.2013       6         40       6.67  0.82  75.99 273.77  66.52
 16.08.2013      21         30      21.50  0.01   65.6   23.7  69.46
 17.08.2013       1         51       1.85 23.88  65.75 314.56  61.16
 17.08.2013      12          5      12.08  0.02  70.64 203.38  71.32
 17.08.2013      23         16      23.27  1.18  66.86  16.03   69.3
 18.08.2013       5         57       5.95 23.02   73.6 263.99  64.32
 18.08.2013       6         32       6.53 21.81  69.42 245.52  62.48
 18.08.2013      20         40      20.67  1.53  67.35  66.83  71.16
 19.08.2013       2         32       2.53  0.27  67.41 310.32     62
 19.08.2013      16         29      16.48  0.54  66.71 128.92  71.59
 20.08.2013       1         29       1.48 23.14  71.43 308.27  64.17
 20.08.2013      10         51      10.85 22.86  70.64 203.38  71.32
 21.08.2013      17         45      17.75 23.33  69.34   80.7  73.53
